Bus 0: 
(42.2243439, -85.5948914)
(42.2243439, -85.5948914)
(42.2415825, -85.5905719)
(42.2416262, -85.5837001)
(42.255031, -85.5678434)
(42.2687716, -85.568577)
(42.2697556, -85.5644417)
(42.2739481, -85.5624945)
(42.2842051, -85.5771051)
(42.2888714, -85.5832356)
(42.2888714, -85.5832356)
(42.2888714, -85.5832356)
(42.2888714, -85.5832356)
(42.2888714, -85.5832356)
(42.2888714, -85.5832356)
(42.2986245, -85.5846646)
(42.2656637, -85.6205602)
(42.2471643, -85.5824785)
(42.2470614, -85.5822908)
(42.2458225, -85.584323)
(42.255031, -85.5678434)
(42.255031, -85.5678434)
(42.2649931, -85.5125396)
(42.2600107, -85.581349)
(42.256233, -85.5918782)
(42.240233, -85.6316982)
(42.229258, -85.6547461)
(42.2499818, -85.6450617)
(42.2845248, -85.6102235)
(42.2270934, -85.7092414)
(42.1977903, -85.6329741)
(42.2151137, -85.6324298)
(42.2307017, -85.6001949)
(42.2035411, -85.5334209)
(42.3416573, -85.2935956)
(42.1818636, -85.5282718)
Time Saved: 1091
Average Pick Up Delay: 3.0714285714285716
Average Drop Off Delay: 7.523809523809524
----------------------------------------------
Bus 7: 
(42.2513353, -85.5636076)
(42.2709567, -85.5921189)
(42.1818636, -85.5282718)
(42.1369035, -85.4914085)
(42.2747214, -85.5373227)
(42.2808549, -85.6031249)
(42.229258, -85.6547461)
(42.2439946, -85.5861347)
(42.2439946, -85.5861347)
(42.2600107, -85.581349)
(42.2719011, -85.5977039)
(42.2600107, -85.581349)
(42.2524089, -85.5845547)
(42.3169256, -85.5587574)
(42.2550914, -85.5208287)
(42.2284302, -85.6001423)
(42.2212724, -85.6030875)
(42.229258, -85.6547461)
(42.2610084, -85.6608112)
(42.2588028, -85.6805064)
(42.2926297, -85.6814376)
(42.2962452, -85.6711918)
(42.2952458, -85.6668868)
(42.2964863, -85.6794835)
(42.2900904, -85.6444103)
(42.2939641, -85.5988691)
(42.2842051, -85.5771051)
(42.245557, -85.5426275)
(42.2495543, -85.5878795)
(42.2274519, -85.5916769)
(42.2003819, -85.6001783)
(42.2252099, -85.6190542)
(42.2284125, -85.6162829)
(42.275234, -85.5905422)
(42.2591686, -85.6147658)
(42.2608737, -85.6098764)
(42.2918633, -85.5856693)
(42.3209815, -85.5257372)
(42.2666147, -85.5618707)
(42.2868088, -85.5796208)
(42.2868088, -85.5796208)
(42.2868088, -85.5796208)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2035723, -85.5870155)
(42.204771, -85.5850695)
(42.2050614, -85.6142273)
